fileName,researcher,Cilium_number,horizontal_length_in_pixels,z_lower,z_upper,horizontal_scaling_in_um,vertical_scaling_in_um,horizontal_length_in_um,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_2048x2048.czi,kai,10,10.561,7,14,0.109823521291513,0.281,1.1598462083596688,8,2.248,2.5295745150215088
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,1,35.876,4,11,0.0549117606457566,0.281,1.9700143249271636,8,2.248,2.9890567810629207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,2,26.345,4,12,0.0549117606457566,0.281,1.4466503342124575,9,2.5290000000000004,2.9135267614142517
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,3,21.468,3,11,0.0549117606457566,0.281,1.1788456775431027,9,2.5290000000000004,2.7902541338491123
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,4,33.212,5,11,0.0549117606457566,0.281,1.8237293945668682,7,1.967,2.6823642378706207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,5,33.617,6,14,0.0549117606457566,0.281,1.8459686576283993,9,2.5290000000000004,3.1310447593329607
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,6,44.56,3,11,0.0549117606457566,0.281,2.446868054374914,9,2.5290000000000004,3.518949314144846
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,7,19.156,5,12,0.0549117606457566,0.281,1.0518896869301133,8,2.248,2.481929876823665
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,8,42.867,5,13,0.0549117606457566,0.281,2.353902443601648,9,2.5290000000000004,3.4549526355644606
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,9,23.676,6,12,0.0549117606457566,0.281,1.300090845048933,7,1.967,2.357822131836931
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi,kai,10,19.291,5,12,0.0549117606457566,0.281,1.0593027746172905,8,2.248,2.4850807568994395
